id_deputado,deputado,presencas,sessoes_total,votacoes_participadas,taxa_votacao
220642,Delegado Bruno Lima,58,392,321,0.053260328521652564
220644,Rosangela Moro,117,392,967,0.1604446656711465
220645,Erika Hilton,98,392,445,0.07383441181350589
220646,Felipe Becari,76,392,373,0.06188816990210719
220647,Mauricio Neves,102,392,357,0.059233449477351915
220648,Marangoni,112,392,731,0.12128753940600631
220649,Delegado da Cunha,107,392,745,0.12361041977766717
220650,Paulo Alexandre Barbosa,109,392,481,0.07980753276920524
220651,Simone Marquetto,104,392,437,0.07250705160112826
220652,Delegado Palumbo,119,392,650,0.10784801725568276
220653,Fábio Teruel,118,392,497,0.08246225319396051
220654,Delegado Paulo Bilynskyj,121,392,1018,0.16890658702505393
220655,Mario Frias,118,392,538,0.08926497428239588
220656,Fernanda Pessoa,116,392,820,0.1360544217687075
220657,André Fernandes,109,392,515,0.08544881367181019
220658,Luiz Gastão,119,392,1041,0.17272274763563963
220659,Dayany Bittencourt,105,392,715,0.11863281898125104
220660,Yury do Paredão,102,392,495,0.0821304131408661
220661,Matheus Noronha,113,392,427,0.07084785133565621
220662,Lucas Ramos,122,392,598,0.09922017587522813
220663,Eriberto Medeiros,114,392,669,0.11100049776007964
220664,Guilherme Uchoa,117,392,468,0.07765057242409158
220665,Clarissa Tércio,104,392,410,0.06802721088435375
220666,Coronel Meira,122,392,957,0.15878546540567445
